price,fuel_type,gear_type,Make,Year_of_manufacture,Condition,Mileage,Engine_size
10500000,Petrol,Automatic,Mercedes-Benz,2014,Foreign Used,210544.0,2000.0
22050000,Petrol,Automatic,BMW,2015,Local Used,20655.0,2000.0
6930000,Petrol,Automatic,Toyota,2009,Local Used,97225.0,1800.0
13125009,Petrol,Automatic,Chevrolet,2007,Local Used,266868.0,5300.0
10500000,Petrol,Automatic,Mini,2013,Local Used,154962.0,1600.0
7875000,Petrol,Automatic,Ford,2014,Local Used,539687.0,2000.0
9450000,Petrol,Automatic,BMW,2011,Local Used,275074.0,3000.0
8925000,Petrol,Automatic,Ford,2013,Local Used,219599.0,3500.0
6510000,Petrol,Automatic,Toyota,2010,Local Used,135086.0,1800.0
5754000,Petrol,Automatic,Toyota,2007,Local Used,163869.0,2400.0
13520000,Petrol,Automatic,Mercedes-Benz,2011,Local Used,223141.0,3500.0
26250000,Hybrid,Automatic,Lexus,2016,Local Used,11682.0,2000.0
6667500,Petrol,Automatic,Hyundai,2014,Local Used,162954.0,1800.0
24045000,Petrol,Automatic,Toyota,2016,Foreign Used,28623.0,3500.0
9450000,Petrol,Automatic,Ford,2015,Local Used,170107.0,3500.0
12180000,Petrol,Automatic,Toyota,2009,Local Used,308661.0,2700.0
7875000,Petrol,Automatic,Mercedes-Benz,2012,Local Used,269393.0,1800.0
8925000,Petrol,Automatic,Ford,2015,Local Used,129474.0,3500.0
11550000,Petrol,Automatic,Hyundai,2016,Local Used,152355.0,2000.0
8400000,Petrol,Automatic,Mercedes-Benz,2003,Local Used,29999.0,5000.0
5250000,Petrol,Automatic,Peugeot,2011,Foreign Used,133530.0,2000.0
25200000,Petrol,Automatic,Acura,2018,Local Used,83122.0,3500.0
14175000,Petrol,Automatic,Hyundai,2014,Foreign Used,109716.0,3300.0
4271000,Petrol,Automatic,Toyota,2007,Local Used,290294.0,2400.0
11025000,Petrol,Automatic,Land Rover,2013,Local Used,63575.0,5000.0
9750562,Petrol,Automatic,Honda,2012,Local Used,78349.0,2400.0
8400000,Petrol,Automatic,Land Rover,2010,Local Used,160678.0,5000.0
5250000,Petrol,Automatic,Peugeot,2011,Foreign Used,133530.0,2000.0
8400000,Petrol,Automatic,Mercedes-Benz,2001,Local Used,113958.0,5000.0
5775000,Diesel,Automatic,Mercedes-Benz,2008,Local Used,458879.0,3000.0
7560000,Petrol,Automatic,Lexus,2005,Local Used,124107.0,4700.0
26460000,Petrol,Automatic,Toyota,2012,Local Used,196703.0,3500.0
5040000,Petrol,Automatic,Infiniti,2005,Local Used,118211.0,5600.0
11340000,Petrol,Automatic,Hyundai,2016,Local Used,83772.0,2000.0
14175000,Petrol,Automatic,Hyundai,2016,Local Used,98780.0,3500.0
5670000,Petrol,Automatic,Ford,2014,Local Used,161142.0,3500.0
10605000,Petrol,Automatic,Toyota,2009,Local Used,225194.0,3500.0
7300000,Petrol,Automatic,Toyota,2008,Local Used,149560.0,1800.0
5775000,Petrol,Automatic,Toyota,2007,Local Used,152341.0,3300.0
3675000,Petrol,Automatic,Mitsubishi,2004,Local Used,284975.0,3800.0
5824000,Petrol,Automatic,Honda,2011,Local Used,95691.0,3500.0
6825000,Petrol,Automatic,Mercedes-Benz,2008,Local Used,332055.0,3500.0
5985000,Petrol,Automatic,Lexus,2005,Local Used,169049.0,3300.0
14175000,Petrol,Automatic,Toyota,2013,Local Used,113929.0,3500.0
14040000,Petrol,Automatic,Toyota,2014,Local Used,145838.0,1800.0
8008000,Petrol,Automatic,Toyota,2010,Local Used,160898.0,2400.0
4836000,Petrol,Automatic,Toyota,2004,Local Used,164241.0,2400.0
8840000,Petrol,Automatic,Lexus,2007,Local Used,182203.0,3500.0
25410000,Petrol,Automatic,Land Rover,2011,Foreign Used,270842.0,5000.0
13440000,Petrol,Automatic,Toyota,2010,Local Used,151868.0,3500.0
11960000,Petrol,Automatic,Mercedes-Benz,2010,Local Used,56326.0,3500.0
9996000,Petrol,Automatic,Toyota,2008,Local Used,327120.0,3500.0
7035000,Petrol,Automatic,Lexus,2004,Local Used,256377.0,3300.0
8190000,Petrol,Automatic,Lexus,2007,Local Used,169651.0,2500.0
7875000,Petrol,Automatic,Honda,2009,Foreign Used,360470.0,3500.0
7350000,Petrol,Automatic,Toyota,2010,Local Used,357642.0,1800.0
5565000,Petrol,Automatic,Lexus,2005,Local Used,175242.0,3300.0
5250000,Petrol,Automatic,Chevrolet,2012,Local Used,115439.0,3600.0
