price,fuel type,gear type,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,car,Trim,Drivetrain,Seats,Number of Cylinders,Horse Power,Registered city
"₦ 8,925,000",Petrol,Automatic,Ford,Fusion,2015,Gold,Local Used,145438,1500,Registered,Imported,Ford Fusion 2015 Gold,,,,,,LAGOS
"₦ 7,875,000",Petrol,Automatic,Acura,MDX,2010,Silver,Local Used,187039,3500,Registered,Registered,Acura MDX 2010 Silver,,,,,,LAGOS
"₦ 21,000,000",Petrol,Automatic,Mercedes-Benz,M Class,2013,Beige,Local Used,189747,3500,Registered,Imported,Mercedes-Benz M Class 2013 Beige,,,,,,
"₦ 5,616,000",Petrol,Automatic,Honda,Accord,2008,Silver,Local Used,201777,2400,Registered,Registered,Honda Accord 2008 Silver,,,,,,Abuja
"₦ 6,300,000",Petrol,Automatic,Land Rover,Range Rover Sport,2008,Black,Local Used,244193,4400,Registered,Registered,Land Rover Range Rover Sport 2008 Black,,,,,,LAGOS
"₦ 9,219,000",Petrol,Automatic,Toyota,Camry,2012,White,Local Used,300719,2500,Registered,Imported,Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2012 White,SE 4dr Sedan (2.5L 4cyl 6A),Front,5,4,178,LAGOS
"₦ 6,090,000",Petrol,Automatic,Toyota,RAV4,2006,Black,Local Used,166264,2400,Registered,Imported,Toyota RAV4 2006 Black,,,,,,Lagos
"₦ 13,650,000",Petrol,Automatic,Mercedes-Benz,C200,2015,Black,Local Used,26279,2000,Registered,Brand new,Mercedes-Benz C200 2015 Black,,,,,,
"₦ 18,900,000",Petrol,Automatic,Acura,TSX,2014,Gray,Foreign Used,94239,3500,Imported,Imported,Acura TSX 2014 Gray,,,,,,
"₦ 8,610,000",Petrol,CVT,Honda,Accord,2013,Black,Local Used,81238,2400,Registered,Registered,Honda Accord 2013 Black,,,,,,LAGOS
"₦ 11,550,000",Petrol,Manual,Mitsubishi,L200,2019,White,Local Used,96943,2700,Registered,Registered,Mitsubishi L200 2019 White,,,,,,LAGOS
"₦ 6,760,000",Petrol,Automatic,Acura,MDX,2007,White,Local Used,184674,3700,Registered,Imported,Acura MDX 2007 White,,,,,,Lagos
"₦ 6,300,000",Petrol,Automatic,Toyota,RAV4,2006,White,Local Used,177502,3500,Registered,Registered,Toyota RAV4 2006 White,,,,,,
"₦ 15,112,500",Petrol,Automatic,Mercedes-Benz,CLA-Class,2015,White,Local Used,107054,2000,Registered,Registered,Mercedes-Benz CLA-Class 2015 White,,,,,,LAGOS
"₦ 12,600,000",Petrol,Automatic,Ford,Flex,2014,Brown,Local Used,12757,3500,Registered,Brand new,Ford Flex 2014 Brown,,,,,,Lagos
"₦ 15,112,500",Petrol,Automatic,Mercedes-Benz,CLA-Class,2015,White,Local Used,107054,2000,Registered,Registered,Mercedes-Benz CLA-Class 2015 White,,,,,,LAGOS
"₦ 4,200,000",Petrol,Automatic,Honda,CR-V,2007,Black,Local Used,508181,2400,Registered,Imported,Honda CR-V 2007 Black,,,,,,LAGOS
"₦ 7,035,000",Petrol,Automatic,Ford,F-150,2013,Black,Local Used,244729,5000,Registered,Imported,Ford F-150 2013 Black,,,,,,
"₦ 5,145,000",Petrol,Automatic,Toyota,Camry,2009,Green,Local Used,186950,2800,Registered,Registered,Toyota Camry 2.4 LE 2009 Green,2.4 LE,Front,5,,158,LAGOS
"₦ 8,032,500",Petrol,Automatic,Lexus,RX 330,2005,Green,Local Used,111956,3300,Registered,Imported,Lexus RX 330 2005 Green,,,,,,LAGOS
"₦ 6,300,000",Petrol,Automatic,Toyota,RAV4,2008,Red,Local Used,134066,2400,Registered,Registered,Toyota RAV4 2008 Red,,,,,,LAGOS
"₦ 7,455,000",Petrol,Automatic,Lexus,GX,2003,Beige,Local Used,292600,4700,Registered,Imported,Lexus GX 2003 Beige,,,,,,LAGOS
"₦ 5,775,000",Petrol,Automatic,Toyota,Corolla,2009,Black,Local Used,406009,1800,Registered,Imported,Toyota Corolla 2009 Black,LE 4dr Sedan (1.8L 4 cyl 4A),Front,,4,132,
"₦ 16,957,500",Petrol,Automatic,Mercedes-Benz,C300,2016,Black,Local Used,56676,2500,Registered,Imported,Mercedes-Benz C300 2016 Black,,,,,,Lagos
