price,fuel type,gear type,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,car,Trim,Drivetrain,Seats,Number of Cylinders,Horse Power,Registered city
"₦ 7,488,000",Petrol,Automatic,Toyota,Highlander,2004,Black,Local Used,191640,3300,Registered,Imported,Toyota Highlander Limited V6 FWD 2004 Black,Limited V6 FWD,All Wheel,7,6,230,LAGOS
"₦ 8,300,000",Petrol,Automatic,Toyota,Camry,2007,Black,Local Used,114694,2400,Registered,Imported,Toyota Camry 2007 Black,,,,,,LAGOS
"₦ 14,700,000",Petrol,Automatic,Honda,Accord,2014,Black,Foreign Used,220548,2400,Imported,Imported,Honda Accord 2014 Black,,,,,,
"₦ 8,268,000",Petrol,Automatic,Toyota,Camry,2009,Brown,Local Used,109356,2400,Registered,Imported,Toyota Camry 2009 Brown,,,,,,ABUJA
"₦ 6,760,000",Petrol,Automatic,Lexus,ES,2003,Silver,Local Used,110815,3300,Registered,Registered,Lexus ES 2003 Silver,,,,,,
"₦ 7,280,000",Petrol,Automatic,Toyota,Camry,2007,Green,Local Used,93713,3500,Registered,Registered,Toyota Camry 2007 Green,,,,,,
"₦ 17,598,000",Petrol,Automatic,Toyota,Corolla,2019,Black,Foreign Used,147502,1800,Imported,Imported,Toyota Corolla LE (1.8L 4cyl 2A) 2019 Black,LE (1.8L 4cyl 2A),,,,132,
"₦ 13,520,000",Petrol,Automatic,Lexus,ES,2008,Silver,Local Used,127534,3500,Registered,Imported,Lexus ES 2008 Silver,,,,,,
"₦ 73,500,000",Petrol,Automatic,Toyota,4-Runner,2020,Gray,Local Used,53689,4000,Registered,Brand new,Toyota 4-Runner Limited 2020 Gray,Limited,,,,,Lagos
"₦ 7,800,000",Petrol,Automatic,Toyota,Camry,2007,Blue,Local Used,125283,2400,Registered,Imported,Toyota Camry 2007 Blue,,,,,,Lagos
"₦ 10,400,000",Petrol,Automatic,Toyota,Sienna,2007,Silver,Foreign Used,416979,3500,Imported,Imported,Toyota Sienna LE 4WD 2007 Silver,LE 4WD,All Wheel,7,6,270,
"₦ 15,750,000",Petrol,Automatic,Mercedes-Benz,GLK-Class,2014,Black,Local Used,119374,3500,Registered,Registered,Mercedes-Benz GLK-Class 2014 Black,,,,,,Abuja
