price,fuel_type,gear_type,Make,Year_of_manufacture,Condition,Mileage,Engine_size,Selling_Condition,Bought_Condition
8925000,Petrol,Automatic,Ford,2015,Local Used,145438.0,1500.0,Registered,Imported
7875000,Petrol,Automatic,Acura,2010,Local Used,187039.0,3500.0,Registered,Registered
21000000,Petrol,Automatic,Mercedes-Benz,2013,Local Used,189747.0,3500.0,Registered,Imported
5616000,Petrol,Automatic,Honda,2008,Local Used,201777.0,2400.0,Registered,Registered
6300000,Petrol,Automatic,Land Rover,2008,Local Used,244193.0,4400.0,Registered,Registered
9219000,Petrol,Automatic,Toyota,2012,Local Used,300719.0,2500.0,Registered,Imported
6090000,Petrol,Automatic,Toyota,2006,Local Used,166264.0,2400.0,Registered,Imported
13650000,Petrol,Automatic,Mercedes-Benz,2015,Local Used,26279.0,2000.0,Registered,Brand new
18900000,Petrol,Automatic,Acura,2014,Foreign Used,94239.0,3500.0,Imported,Imported
8610000,Petrol,CVT,Honda,2013,Local Used,81238.0,2400.0,Registered,Registered
11550000,Petrol,Manual,Mitsubishi,2019,Local Used,96943.0,2700.0,Registered,Registered
6760000,Petrol,Automatic,Acura,2007,Local Used,184674.0,3700.0,Registered,Imported
6300000,Petrol,Automatic,Toyota,2006,Local Used,177502.0,3500.0,Registered,Registered
15112500,Petrol,Automatic,Mercedes-Benz,2015,Local Used,107054.0,2000.0,Registered,Registered
12600000,Petrol,Automatic,Ford,2014,Local Used,12757.0,3500.0,Registered,Brand new
15112500,Petrol,Automatic,Mercedes-Benz,2015,Local Used,107054.0,2000.0,Registered,Registered
4200000,Petrol,Automatic,Honda,2007,Local Used,508181.0,2400.0,Registered,Imported
7035000,Petrol,Automatic,Ford,2013,Local Used,244729.0,5000.0,Registered,Imported
5145000,Petrol,Automatic,Toyota,2009,Local Used,186950.0,2800.0,Registered,Registered
8032500,Petrol,Automatic,Lexus,2005,Local Used,111956.0,3300.0,Registered,Imported
6300000,Petrol,Automatic,Toyota,2008,Local Used,134066.0,2400.0,Registered,Registered
7455000,Petrol,Automatic,Lexus,2003,Local Used,292600.0,4700.0,Registered,Imported
5775000,Petrol,Automatic,Toyota,2009,Local Used,406009.0,1800.0,Registered,Imported
16957500,Petrol,Automatic,Mercedes-Benz,2016,Local Used,56676.0,2500.0,Registered,Imported
8347500,Petrol,Automatic,Kia,2014,Local Used,263887.0,3300.0,Registered,Imported
8112000,Petrol,Automatic,Honda,2011,Local Used,275480.0,3500.0,Registered,Imported
11550000,Petrol,Automatic,Hyundai,2012,Local Used,154116.0,3300.0,Registered,Imported
5775000,Petrol,Automatic,Toyota,2011,Local Used,252208.0,1800.0,Registered,Imported
10363500,Petrol,Automatic,Toyota,2009,Local Used,125140.0,3500.0,Registered,Registered
7717500,Petrol,Automatic,Mercedes-Benz,2011,Local Used,302712.0,3000.0,Registered,Imported
7717500,Petrol,Automatic,Mercedes-Benz,2011,Local Used,302712.0,3000.0,Registered,Imported
10363500,Petrol,Automatic,Toyota,2009,Local Used,125140.0,3500.0,Registered,Registered
15120000,Petrol,Automatic,Toyota,2016,Local Used,123122.0,2400.0,Registered,Imported
22050000,Petrol,Automatic,Toyota,2010,Local Used,75973.0,2500.0,Registered,Registered
3570000,Petrol,Automatic,Kia,2005,Local Used,156289.0,2000.0,Registered,Imported
3696000,Petrol,Automatic,Toyota,2004,Local Used,375738.0,2400.0,Registered,Registered
